Date,exchange_rate
31-Jan-10,6.827097
28-Feb-10,6.829264
31-Mar-10,6.826558
30-Apr-10,6.826047
31-May-10,6.827277
30-Jun-10,6.820827
31-Jul-10,6.776216
31-Aug-10,6.786952
30-Sep-10,6.748917
31-Oct-10,6.670287
30-Nov-10,6.65246
31-Dec-10,6.652348
31-Jan-11,6.597297
28-Feb-11,6.577043
31-Mar-11,6.566572
30-Apr-11,6.526517
31-May-11,6.495716
30-Jun-11,6.476267
31-Jul-11,6.455281
31-Aug-11,6.405545
30-Sep-11,6.389371
31-Oct-11,6.371935
30-Nov-11,6.356067
31-Dec-11,6.344497
31-Jan-12,6.315044
29-Feb-12,6.300476
31-Mar-12,6.311163
30-Apr-12,6.30347
31-May-12,6.316919
30-Jun-12,6.365433
31-Jul-12,6.373606
31-Aug-12,6.361577
30-Sep-12,6.324183
31-Oct-12,6.274832
30-Nov-12,6.240017
31-Dec-12,6.23548
31-Jan-13,6.22404
28-Feb-13,6.233512
31-Mar-13,6.216287
30-Apr-13,6.187123
31-May-13,6.142379
30-Jun-13,6.138663
31-Jul-13,6.138664
31-Aug-13,6.122006
30-Sep-13,6.12169
31-Oct-13,6.113055
30-Nov-13,6.114147
31-Dec-13,6.082261
31-Jan-14,6.074065
28-Feb-14,6.075162
31-Mar-14,6.169652
30-Apr-14,6.22348
31-May-14,6.240068
30-Jun-14,6.234197
31-Jul-14,6.135827
31-Aug-14,6.157152
30-Sep-14,6.139091
31-Oct-14,6.127435
30-Nov-14,6.12519
31-Dec-14,6.189887
31-Jan-15,6.217386
28-Feb-15,6.250589
31-Mar-15,6.24161
30-Apr-15,6.201223
31-May-15,6.20334
30-Jun-15,6.206197
31-Jul-15,6.208335
31-Aug-15,6.326845
30-Sep-15,6.368933
31-Oct-15,6.350316
30-Nov-15,6.368297
31-Dec-15,6.451177
31-Jan-16,6.566271
29-Feb-16,6.550959
31-Mar-16,6.505371
30-Apr-16,6.47718
31-May-16,6.5264
30-Jun-16,6.5876
31-Jul-16,6.676932
31-Aug-16,6.649181
30-Sep-16,6.676762
31-Oct-16,6.724935
30-Nov-16,6.84486
31-Dec-16,6.924758
31-Jan-17,6.896765
28-Feb-17,6.872388
31-Mar-17,6.894352
30-Apr-17,6.893129
31-May-17,6.8826
30-Jun-17,6.809243
31-Jul-17,6.771358
31-Aug-17,6.65968
30-Sep-17,6.568118
31-Oct-17,6.627632
30-Nov-17,6.62357
31-Dec-17,6.589548
31-Jan-18,6.426539
28-Feb-18,6.321657
31-Mar-18,6.32521
30-Apr-18,6.305093
31-May-18,6.374674
30-Jun-18,6.466713
31-Jul-18,6.721739
31-Aug-18,6.851623
30-Sep-18,6.860237
31-Oct-18,6.919797
30-Nov-18,6.937675
31-Dec-18,6.892342
31-Jan-19,6.791742
28-Feb-19,6.741967
31-Mar-19,6.713879
30-Apr-19,6.716045
31-May-19,6.852565
30-Jun-19,6.897927
31-Jul-19,6.879839
31-Aug-19,7.0606
30-Sep-19,7.11505
31-Oct-19,7.095968
30-Nov-19,7.02135
31-Dec-19,7.011116
31-Jan-20,6.9244
29-Feb-20,6.995876
31-Mar-20,7.026826
30-Apr-20,7.070366
31-May-20,7.10361
30-Jun-20,7.08203
31-Jul-20,7.010515
31-Aug-20,6.93039
30-Sep-20,6.81411
31-Oct-20,6.723684
30-Nov-20,6.602673
31-Dec-20,6.540134
31-Jan-21,6.474835
28-Feb-21,6.46557
31-Mar-21,6.512258
30-Apr-21,6.522038
31-May-21,6.429506
30-Jun-21,6.42591
