date,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			RentAndLandingFees,			OtherGandA,		SellingAndMarketingExpense,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,			DepreciationIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		ImpairmentOfCapitalAssets,		WriteOff,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,	PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,GDP,Inflation,ExchangeRate,UnemploymentRate
2021-03-31,"4,150,000,000","2,963,000,000","6,346,000,000","-2,196,000,000","-754,000,000","110,000,000",,,,,"110,000,000",,,,"-864,000,000","-1,442,000,000","-361,000,000",,"361,000,000",,"288,000,000","262,000,000","-10,000,000","-44,000,000",,"54,000,000",,"36,000,000","-1,515,000,000","-338,000,000","-1,177,000,000","-1,177,000,000","-1,177,000,000","-1,177,000,000",,,"-1,177,000,000",-1.85,-1.85,"636,000,000","636,000,000","-1,398,000,000","597,000,000","5,592,000,000","-1,177,000,000","-1,372,778,217.822",,"361,000,000","-361,000,000","-1,154,000,000",,"6,346,000,000","492,000,000","-1,177,000,000","252,000,000","252,000,000","-1,406,000,000",0.223,"56,221,782.178",48.79999923706055,49.02000045776367,48.11000061035156,48.27999877929688,48.27999877929688,9469200.0,DAL,"30,882,851,764","52,334,851,764",,,,1.796,20.132,12.611,-45.351,22061.503,1.9,6.484221,6.166666666666667
2020-12-31,"3,973,000,000","2,903,000,000","5,458,000,000","-1,485,000,000","-1,048,000,000","84,000,000",,,,,"84,000,000",,,,"-1,132,000,000","-437,000,000","-365,000,000",,"365,000,000",,"-306,000,000","94,000,000","-421,000,000","421,000,000",,0,,"21,000,000","-1,108,000,000","-353,000,000","-755,000,000","-755,000,000","-755,000,000","-755,000,000",,,"-755,000,000",-1.19,-1.19,"635,000,000","635,000,000","-858,000,000","427,000,000","4,410,000,000","-755,000,000","-532,179,602.888",,"365,000,000","-365,000,000","-743,000,000",,"5,458,000,000","499,000,000","-755,000,000","-327,000,000","-327,000,000","-416,000,000",0.319,"-104,179,602.888",40.29999923706055,40.7400016784668,39.7599983215332,40.209999084472656,40.209999084472656,8705700.0,DAL,"25,661,319,129","45,576,319,129",,158.73,39.128,1.045,7.644,11.472,-61.341,21494.731,1.266666667,6.622163667,6.766666666666667
2020-09-30,"3,062,000,000","2,080,000,000","5,086,000,000","-2,024,000,000","-983,000,000","94,000,000",,,,,"94,000,000",,,,"-1,077,000,000","-1,041,000,000","-291,000,000",,"291,000,000",,"-5,527,000,000","-95,000,000","-5,459,000,000","5,345,000,000",,"114,000,000",,"27,000,000","-6,859,000,000","-1,480,000,000","-5,379,000,000","-5,379,000,000","-5,379,000,000","-5,379,000,000",,,"-5,379,000,000",-8.47,-8.47,"635,000,000","635,000,000","-6,386,000,000","477,000,000","4,103,000,000","-5,379,000,000","-1,023,413,762.939",,"291,000,000","-291,000,000","-6,568,000,000",,"5,086,000,000","544,000,000","-5,379,000,000","-5,554,000,000","-5,554,000,000","-1,014,000,000",0.216,"-1,198,413,762.939",30.989999771118164,31.850000381469727,30.479999542236328,30.57999992370605,30.57999992370605,16664100.0,DAL,"19,501,914,924","34,578,914,924",,23.529,6.782,0.576,2.244,11.293,-5.265,21170.252,1.233333333,6.918338333,8.8
2020-06-30,"1,468,000,000","786,000,000","4,868,000,000","-3,400,000,000","-1,039,000,000","45,000,000",,,,,"45,000,000",,,,"-1,084,000,000","-2,361,000,000","-194,000,000",,"194,000,000",,"-4,459,000,000","8,000,000","-4,512,000,000","2,454,000,000",,"2,058,000,000",,"45,000,000","-7,014,000,000","-1,297,000,000","-5,717,000,000","-5,717,000,000","-5,717,000,000","-5,717,000,000",,,"-5,717,000,000",-9.01,-9.01,"635,000,000","635,000,000","-4,815,000,000","446,000,000","3,829,000,000","-5,717,000,000","-2,045,861,134.873",,"194,000,000","-194,000,000","-6,820,000,000",,"4,868,000,000","589,000,000","-5,717,000,000","-4,504,000,000","-4,504,000,000","-2,316,000,000",0.185,"-832,861,134.873",28.350000381469727,28.65999984741211,27.600000381469727,28.049999237060547,28.049999237060547,27054800.0,DAL,"17,891,881,725","34,895,881,725",5.223,,,0.401,1.25,23.771,-5.117,19520.114,0.333333333,7.085335333,13.066666666666668
2020-03-31,"8,592,000,000","7,721,000,000","8,133,000,000","459,000,000","869,000,000","358,000,000",,,,,"358,000,000",,,,"511,000,000","-410,000,000","-79,000,000",,"79,000,000",,"-118,000,000","-112,000,000",,,,,,"-6,000,000","-607,000,000","-73,000,000","-534,000,000","-534,000,000","-534,000,000","-534,000,000",,,"-534,000,000",-0.84,-0.84,"637,000,000","637,000,000","-410,000,000","567,000,000","9,002,000,000","-534,000,000","-435,469,522.241",,"79,000,000","-79,000,000","-528,000,000",,"8,133,000,000",,"-534,000,000","-112,000,000","-112,000,000","-416,000,000",0.12,"-13,469,522.241",29.350000381469727,30.530000686645508,28.420000076293945,28.530000686645508,28.530000686645508,25002300.0,DAL,"18,197,466,957","32,570,466,957",3.908,5.893,589.219,0.396,1.185,3.791,-61.686,21561.139,2.1,6.982367333,3.8000000000000003
2019-12-31,"11,439,000,000","10,431,000,000","9,098,000,000","2,341,000,000","942,000,000","488,000,000",,,,,"488,000,000",,,,"454,000,000","1,399,000,000","-73,000,000",,"73,000,000",,"72,000,000","136,000,000",,,,,,"-64,000,000","1,398,000,000","300,000,000","1,098,000,000","1,098,000,000","1,098,000,000","1,098,000,000",,,"1,098,000,000",1.71,1.71,"642,000,000","644,000,000","1,399,000,000","546,000,000","10,040,000,000","1,098,000,000","991,184,549.356",,"73,000,000","-73,000,000","1,471,000,000",,"9,098,000,000","622,000,000","1,098,000,000","136,000,000","136,000,000","1,335,000,000",0.215,"29,184,549.356",58.4900016784668,58.72999954223633,58.34000015258789,58.47999954223633,58.07864761352539,2917300.0,DAL,"37,589,289,776","52,094,289,776",8.26,7.831,0.734,0.838,2.495,4.554,35.414,21747.394,2.066666667,7.042811333,3.6
2019-09-30,"12,560,000,000","11,599,000,000","9,474,000,000","3,086,000,000","1,015,000,000","539,000,000",,,,,"539,000,000",,,,"476,000,000","2,071,000,000","-70,000,000",,"70,000,000",,"-54,000,000","-35,000,000",,,,,,"-19,000,000","1,947,000,000","452,000,000","1,495,000,000","1,495,000,000","1,495,000,000","1,495,000,000",,,"1,495,000,000",2.32,2.31,"646,000,000","648,000,000","2,071,000,000","570,000,000","10,489,000,000","1,495,000,000","1,521,874,678.993",,"70,000,000","-70,000,000","2,017,000,000",,"9,474,000,000",,"1,495,000,000","-35,000,000","-35,000,000","2,052,000,000",0.232,"-8,125,321.007",58.5099983215332,58.68999862670898,57.52000045776367,57.59999847412109,56.78284454345703,5208200.0,DAL,"37,252,388,390","51,614,388,390",8.61,7.576,0.71,0.849,2.669,4.109,25.59,21540.325,1.733333333,7.018496333,3.6
2019-06-30,"12,536,000,000","11,554,000,000","9,457,000,000","3,079,000,000","951,000,000","538,000,000",,,,,"538,000,000",,,,"413,000,000","2,128,000,000","-75,000,000",,"75,000,000",,"-146,000,000","-82,000,000",,,,,,"-64,000,000","1,907,000,000","464,000,000","1,443,000,000","1,443,000,000","1,443,000,000","1,443,000,000",,,"1,443,000,000",2.22,2.21,"650,000,000","652,000,000","2,128,000,000","549,000,000","10,408,000,000","1,443,000,000","1,505,048,243.314",,"75,000,000","-75,000,000","1,982,000,000",,"9,457,000,000",,"1,443,000,000","-82,000,000","-82,000,000","2,064,000,000",0.243,"-19,951,756.686",,,,,,,,"37,151,175,765","52,752,175,765",9.506,8.32,0.717,0.864,2.858,4.208,26.616,21329.877,1.8,6.822179,3.6666666666666665
2019-03-31,"10,472,000,000","9,446,000,000","8,596,000,000","1,876,000,000","856,000,000","427,000,000",,,,,"427,000,000",,,,"429,000,000","1,020,000,000","-83,000,000",,"83,000,000",,"9,000,000","100,000,000",,,,,,"-91,000,000","946,000,000","216,000,000","730,000,000","730,000,000","730,000,000","730,000,000",,,"730,000,000",1.1,1.09,"665,000,000","667,000,000","1,020,000,000","521,000,000","9,452,000,000","730,000,000","652,832,980.973",,"83,000,000","-83,000,000","1,029,000,000",,"8,596,000,000",,"730,000,000","100,000,000","100,000,000","929,000,000",0.228,"22,832,980.973",,,,,,,,"35,067,772,561","49,826,772,561",9.109,7.734,0.834,0.807,2.472,4.758,48.423,21115.309,1.666666667,6.749196,3.8666666666666667
2018-12-31,"10,742,000,000","9,862,000,000","8,753,000,000","1,989,000,000","886,000,000","468,000,000",,,,,"468,000,000",,,,"418,000,000","1,103,000,000","-37,000,000",,"37,000,000",,"321,000,000","185,000,000",,,,,,"136,000,000","1,387,000,000","336,000,000","1,051,000,000","1,051,000,000","1,051,000,000","1,051,000,000",,,"1,051,000,000",1.5,1.49,"680,000,000","683,000,000","1,103,000,000","564,000,000","9,639,000,000","1,051,000,000","910,816,149.964",,"37,000,000","-37,000,000","1,424,000,000",,"8,753,000,000","570,000,000","1,051,000,000","185,000,000","185,000,000","1,239,000,000",0.242,"44,816,149.964",50.290000915527344,50.65999984741211,49.560001373291016,49.900001525878906,48.247188568115234,6231700.0,DAL,"33,929,229,302","41,362,229,302",9.804,7.391,0.579,0.794,2.476,3.851,29.047,20909.853,2.2,6.916604667,3.8333333333333335
2018-09-30,"11,953,000,000","11,022,000,000","9,321,000,000","2,632,000,000","990,000,000","535,000,000",,,,,"535,000,000",,,,"455,000,000","1,642,000,000","-84,000,000",,"84,000,000",,"116,000,000","50,000,000",,,,,,"66,000,000","1,674,000,000","362,000,000","1,312,000,000","1,312,000,000","1,312,000,000","1,312,000,000",,,"1,312,000,000",1.91,1.91,"686,000,000","688,000,000","1,642,000,000","520,000,000","10,311,000,000","1,312,000,000","1,272,812,425.329",,"84,000,000","-84,000,000","1,758,000,000",,"9,321,000,000",,"1,312,000,000","50,000,000","50,000,000","1,708,000,000",0.216,"10,812,425.329",,,,,,,,"39,979,690,177","47,477,690,177",12.048,8.569,0.553,0.949,3.084,3.972,27.007,20742.723,2.633333333,6.811199667,3.766666666666667
2018-06-30,"11,775,000,000","10,769,000,000","9,147,000,000","2,628,000,000","948,000,000","511,000,000",,,,,"511,000,000",,,,"437,000,000","1,680,000,000","-89,000,000",,"89,000,000",,"-219,000,000","-238,000,000",,,,,,"19,000,000","1,372,000,000","347,000,000","1,025,000,000","1,025,000,000","1,025,000,000","1,025,000,000",,,"1,025,000,000",1.47,1.47,"695,000,000","697,000,000","1,680,000,000","504,000,000","10,095,000,000","1,025,000,000","1,202,806,122.449",,"89,000,000","-89,000,000","1,461,000,000",,"9,147,000,000",,"1,025,000,000","-238,000,000","-238,000,000","1,699,000,000",0.253,"-60,193,877.551",,,,,,,,"34,751,166,715","41,430,166,715",10.008,8.446,0.728,0.843,2.727,3.518,28.357,20552.653,2.733333333,6.38216,3.9333333333333336
2018-03-31,"9,968,000,000","8,967,000,000","8,291,000,000","1,677,000,000","837,000,000","427,000,000",,,,,"427,000,000",,,,"410,000,000","840,000,000","-102,000,000",,"102,000,000",,"-20,000,000","18,000,000",,,,,,"-38,000,000","718,000,000","171,000,000","547,000,000","547,000,000","547,000,000","547,000,000",,,"547,000,000",0.78,0.77,"704,000,000","706,000,000","840,000,000","467,000,000","9,128,000,000","547,000,000","533,286,908.078",,"102,000,000","-102,000,000","820,000,000",,"8,291,000,000","610,000,000","547,000,000","18,000,000","18,000,000","802,000,000",0.238,"4,286,908.078",,,,,,,,"38,745,921,151","44,940,921,151",11.073,8.432,0.594,0.961,2.768,4.509,54.806,20242.215,2.233333333,6.357802,4.033333333333333
2017-12-31,"10,245,000,000","8,700,000,000","7,952,000,000","2,293,000,000","1,099,000,000","443,000,000",,,,,"443,000,000",,,,"656,000,000","1,194,000,000","-99,000,000",,"99,000,000",,"-5,000,000",,,,,,,"-5,000,000","1,090,000,000","518,000,000","572,000,000","572,000,000","572,000,000","572,000,000",,,"572,000,000",0.423,0.42,"707,197,979","711,904,762","1,194,000,000","476,000,000","9,051,000,000","572,000,000","572,000,000",,"99,000,000","-99,000,000","1,189,000,000",,"7,952,000,000",,"572,000,000",,,"1,189,000,000",0.4,0,,,,,,,,"39,926,495,784","46,296,495,784",11.2,9.794,2.57,1.009,2.829,4.519,38.937,19937.963,2.1,6.613583333,4.133333333333334
2017-09-30,"11,060,000,000","9,586,000,000","8,146,000,000","2,914,000,000","1,075,000,000","482,000,000",,,,,"482,000,000",,,,"593,000,000","1,839,000,000","-100,000,000",,"100,000,000",,"66,000,000",,,,,,,"66,000,000","1,805,000,000","627,000,000","1,178,000,000","1,178,000,000","1,178,000,000","1,178,000,000",,,"1,178,000,000",1.64,1.64,"716,000,000","719,000,000","1,839,000,000","489,000,000","9,221,000,000","1,178,000,000","1,178,000,000",,"100,000,000","-100,000,000","1,905,000,000",,"8,146,000,000",,"1,178,000,000",,,"1,905,000,000",0.347,0,,,,,,,,"34,912,737,111","40,938,737,111",9.53,8.599,2.429,0.888,2.551,3.702,21.49,19617.288,1.933333333,6.666385333,4.3
2017-06-30,"10,791,000,000","9,414,000,000","7,772,000,000","3,019,000,000","991,000,000","458,000,000",,,,,"458,000,000",,,,"533,000,000","2,028,000,000","-103,000,000",,"103,000,000",,"-34,000,000",,,,,,,"-34,000,000","1,891,000,000","667,000,000","1,224,000,000","1,224,000,000","1,224,000,000","1,224,000,000",,,"1,224,000,000",1.68,1.68,"728,000,000","731,000,000","2,028,000,000","465,000,000","8,763,000,000","1,224,000,000","1,224,000,000",,"103,000,000","-103,000,000","1,994,000,000",,"7,772,000,000",,"1,224,000,000",,,"1,994,000,000",0.353,0,54.0,54.27999877929688,53.72999954223633,53.7400016784668,50.05363082885742,5012800.0,DAL,"38,909,383,915","45,486,383,915",9.952,10.32,4.427,1.01,3.006,4.215,22.812,19379.232,1.9,6.861657333,4.3999999999999995
2017-03-31,"9,148,000,000","7,848,000,000","7,224,000,000","1,924,000,000","871,000,000","404,000,000",,,,,"404,000,000",,,,"467,000,000","1,053,000,000","-94,000,000",,"94,000,000",,"-44,000,000",,,,,,,"-44,000,000","915,000,000","312,000,000","603,000,000","603,000,000","603,000,000","603,000,000",,,"603,000,000",0.83,0.82,"728,000,000","731,000,000","1,053,000,000","449,000,000","8,095,000,000","603,000,000","603,000,000",,"94,000,000","-94,000,000","1,009,000,000",,"7,224,000,000","540,000,000","603,000,000",,,"1,009,000,000",0.341,0,46.119998931884766,46.290000915527344,45.88999938964844,45.959999084472656,42.63178253173828,7052700.0,DAL,"33,804,977,781","37,887,977,781",7.938,8.905,2.308,0.875,2.751,4.142,37.55,19237.435,2.533333333,6.887835,4.566666666666667
2016-12-31,"9,458,000,000","8,148,000,000","7,538,000,000","1,920,000,000","900,000,000","419,000,000",,,,,"419,000,000",,,,"481,000,000","1,020,000,000","-93,000,000",,"93,000,000",,"25,000,000",,,,,,,"25,000,000","952,000,000","330,000,000","622,000,000","622,000,000","622,000,000","622,000,000",,,"622,000,000",0.85,0.84,"732,000,000","737,000,000","1,020,000,000","448,000,000","8,438,000,000","622,000,000","622,000,000",,"93,000,000","-93,000,000","1,045,000,000",,"7,538,000,000","472,000,000","622,000,000",,,"1,045,000,000",0.347,0,,,,,,,,"36,222,760,933","40,635,760,933",7.96,9.833,1.539,0.951,2.873,4.296,38.886,19032.58,1.8,6.831517667,4.766666666666667
2016-09-30,"10,483,000,000","9,238,000,000","7,521,000,000","2,962,000,000","993,000,000","466,000,000",,,,,"466,000,000",,,,"527,000,000","1,969,000,000","-95,000,000",,"95,000,000",,"26,000,000",,,,,,,"26,000,000","1,900,000,000","641,000,000","1,259,000,000","1,259,000,000","1,259,000,000","1,259,000,000",,,"1,259,000,000",1.7,1.69,"740,000,000","744,000,000","1,969,000,000","471,000,000","8,514,000,000","1,259,000,000","1,259,000,000",,"95,000,000","-95,000,000","1,995,000,000",,"7,521,000,000","474,000,000","1,259,000,000",,,"1,995,000,000",0.337,0,39.150001525878906,39.59999847412109,38.93000030517578,39.36000061035156,36.198020935058594,8889300.0,DAL,"28,984,099,824","33,837,099,824",6.41,7.027,,0.762,2.454,3.228,16.961,18821.359,1.133333333,6.667625,4.8999999999999995
2016-06-30,"10,447,000,000","9,135,000,000","7,102,000,000","3,345,000,000","922,000,000","437,000,000",,,,,"437,000,000",,,,"485,000,000","2,423,000,000","-93,000,000",,"93,000,000",,"20,000,000",,,,,,,"20,000,000","2,350,000,000","804,000,000","1,546,000,000","1,546,000,000","1,546,000,000","1,546,000,000",,,"1,546,000,000",2.04,2.03,"758,000,000","763,000,000","2,423,000,000","442,000,000","8,024,000,000","1,546,000,000","1,546,000,000",,"93,000,000","-93,000,000","2,443,000,000",,"7,102,000,000","470,000,000","1,546,000,000",,,"2,443,000,000",0.342,0,36.2599983215332,36.43000030517578,35.72999954223633,36.43000030517578,33.32033157348633,12413700.0,DAL,"27,282,706,709","32,819,706,709",6.133,5.828,,0.712,2.425,3.142,13.434,18656.207,1.033333333,6.530393333,4.933333333333333
2016-03-31,"9,251,000,000","7,924,000,000","6,830,000,000","2,421,000,000","881,000,000","388,000,000",,,,,"388,000,000",,,,"493,000,000","1,540,000,000","-107,000,000",,"107,000,000",,"1,000,000",,,,,,,"1,000,000","1,434,000,000","488,000,000","946,000,000","946,000,000","946,000,000","946,000,000",,,"946,000,000",1.22,1.21,"774,000,000","780,000,000","1,540,000,000","414,000,000","7,711,000,000","946,000,000","946,000,000",,"107,000,000","-107,000,000","1,541,000,000",,"6,830,000,000",,"946,000,000",,,"1,541,000,000",0.34,0,49.369998931884766,49.7400016784668,48.65999984741211,48.68000030517578,44.38169479370117,6550500.0,DAL,"37,560,584,499","42,452,584,499",8.647,6.794,,0.962,3.462,4.589,27.549,18470.156,1.1,6.540867,4.8999999999999995
2015-12-31,"9,502,000,000","8,318,000,000","6,990,000,000","2,512,000,000","795,000,000","402,000,000",,,,,"402,000,000",,,,"393,000,000","1,717,000,000","-102,000,000",,"102,000,000",,"-82,000,000",,0,0,,,,"-82,000,000","1,533,000,000","553,000,000","980,000,000","980,000,000","980,000,000","980,000,000",,,"980,000,000",1.26,1.25,"778,000,000","785,000,000","1,717,000,000","396,000,000","7,785,000,000","980,000,000","980,000,000",,"102,000,000","-102,000,000","1,635,000,000",,"6,990,000,000","451,000,000","980,000,000",0,0,"1,635,000,000",0.361,0,51.0,51.08000183105469,50.34999847412109,50.68999862670898,46.06809997558594,5911400.0,DAL,"39,476,560,503","44,466,560,503",14.319,8.197,,1.013,3.816,4.68,27.197,18378.803,0.466666667,6.38993,5.033333333333333
2015-09-30,"11,107,000,000","9,791,000,000","7,866,000,000","3,241,000,000","1,028,000,000","463,000,000",,,,,"463,000,000",,,,"565,000,000","2,213,000,000","-121,000,000",,"121,000,000",,"-20,000,000",,0,0,,,,"-20,000,000","2,072,000,000","757,000,000","1,315,000,000","1,315,000,000","1,315,000,000","1,315,000,000",,,"1,315,000,000",1.67,1.65,"788,000,000","795,000,000","2,213,000,000","466,000,000","8,894,000,000","1,315,000,000","1,315,000,000",,"121,000,000","-121,000,000","2,193,000,000",,"7,866,000,000",,"1,315,000,000",0,0,"2,193,000,000",0.365,0,44.720001220703125,45.040000915527344,43.86000061035156,44.869998931884766,40.67082595825195,9525700.0,DAL,"35,289,071,374","40,759,071,374",19.424,8.673,,0.908,3.69,3.67,18.586,18347.425,0.133333333,6.301371,5.1000000000000005
