GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,SalariesAndWages,RentAndLandingFees,OtherGandA,SellingAndMarketingExpense,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,TotalOtherFinanceCost,OtherIncomeExpense,GainOnSaleOfSecurity,SpecialIncomeCharges,RestructuringAndMergernAcquisition,ImpairmentOfCapitalAssets,WriteOff,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeExtraordinary,PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
22061.503,1.9,6.166666667,6.484221,"4,150,000,000","2,963,000,000","6,346,000,000","-2,196,000,000","-754,000,000","110,000,000",,,,,"110,000,000",,,,"-864,000,000","-1,442,000,000","-361,000,000",,"361,000,000",,"288,000,000","262,000,000","-10,000,000","-44,000,000",,"54,000,000",,"36,000,000","-1,515,000,000","-338,000,000","-1,177,000,000","-1,177,000,000","-1,177,000,000","-1,177,000,000",,,"-1,177,000,000",-1.85,-1.85,"636,000,000","636,000,000","-1,398,000,000","597,000,000","5,592,000,000","-1,177,000,000","-1,372,778,217.82",,"361,000,000","-361,000,000","-1,154,000,000",,"6,346,000,000","492,000,000","-1,177,000,000","252,000,000","252,000,000","-1,406,000,000",0.223,"56,221,782.18",48.79999924,49.02000046,48.11000061,48.27999878,48.27999878,9469200,DAL,"30,882,851,764","52,334,851,764",,,,1.796,20.132,12.611,-45.351,3/31/21
21494.731,1.266666667,6.766666667,6.62216367,"3,973,000,000","2,903,000,000","5,458,000,000","-1,485,000,000","-1,048,000,000","84,000,000",,,,,"84,000,000",,,,"-1,132,000,000","-437,000,000","-365,000,000",,"365,000,000",,"-306,000,000","94,000,000","-421,000,000","421,000,000",,0,,"21,000,000","-1,108,000,000","-353,000,000","-755,000,000","-755,000,000","-755,000,000","-755,000,000",,,"-755,000,000",-1.19,-1.19,"635,000,000","635,000,000","-858,000,000","427,000,000","4,410,000,000","-755,000,000","-532,179,602.89",,"365,000,000","-365,000,000","-743,000,000",,"5,458,000,000","499,000,000","-755,000,000","-327,000,000","-327,000,000","-416,000,000",0.319,"-104,179,602.89",40.29999924,40.74000168,39.75999832,40.20999908,40.20999908,8705700,DAL,"25,661,319,129","45,576,319,129",,158.73,39.128,1.045,7.644,11.472,-61.341,12/31/20
21170.252,1.233333333,8.8,6.91833833,"3,062,000,000","2,080,000,000","5,086,000,000","-2,024,000,000","-983,000,000","94,000,000",,,,,"94,000,000",,,,"-1,077,000,000","-1,041,000,000","-291,000,000",,"291,000,000",,"-5,527,000,000","-95,000,000","-5,459,000,000","5,345,000,000",,"114,000,000",,"27,000,000","-6,859,000,000","-1,480,000,000","-5,379,000,000","-5,379,000,000","-5,379,000,000","-5,379,000,000",,,"-5,379,000,000",-8.47,-8.47,"635,000,000","635,000,000","-6,386,000,000","477,000,000","4,103,000,000","-5,379,000,000","-1,023,413,762.94",,"291,000,000","-291,000,000","-6,568,000,000",,"5,086,000,000","544,000,000","-5,379,000,000","-5,554,000,000","-5,554,000,000","-1,014,000,000",0.216,"-1,198,413,762.94",30.98999977,31.85000038,30.47999954,30.57999992,30.57999992,16664100,DAL,"19,501,914,924","34,578,914,924",,23.529,6.782,0.576,2.244,11.293,-5.265,9/30/20
19520.114,0.333333333,13.06666667,7.08533533,"1,468,000,000","786,000,000","4,868,000,000","-3,400,000,000","-1,039,000,000","45,000,000",,,,,"45,000,000",,,,"-1,084,000,000","-2,361,000,000","-194,000,000",,"194,000,000",,"-4,459,000,000","8,000,000","-4,512,000,000","2,454,000,000",,"2,058,000,000",,"45,000,000","-7,014,000,000","-1,297,000,000","-5,717,000,000","-5,717,000,000","-5,717,000,000","-5,717,000,000",,,"-5,717,000,000",-9.01,-9.01,"635,000,000","635,000,000","-4,815,000,000","446,000,000","3,829,000,000","-5,717,000,000","-2,045,861,134.87",,"194,000,000","-194,000,000","-6,820,000,000",,"4,868,000,000","589,000,000","-5,717,000,000","-4,504,000,000","-4,504,000,000","-2,316,000,000",0.185,"-832,861,134.87",28.35000038,28.65999985,27.60000038,28.04999924,28.04999924,27054800,DAL,"17,891,881,725","34,895,881,725",5.223,,,0.401,1.25,23.771,-5.117,6/30/20
21561.139,2.1,3.8,6.98236733,"8,592,000,000","7,721,000,000","8,133,000,000","459,000,000","869,000,000","358,000,000",,,,,"358,000,000",,,,"511,000,000","-410,000,000","-79,000,000",,"79,000,000",,"-118,000,000","-112,000,000",,,,,,"-6,000,000","-607,000,000","-73,000,000","-534,000,000","-534,000,000","-534,000,000","-534,000,000",,,"-534,000,000",-0.84,-0.84,"637,000,000","637,000,000","-410,000,000","567,000,000","9,002,000,000","-534,000,000","-435,469,522.24",,"79,000,000","-79,000,000","-528,000,000",,"8,133,000,000",,"-534,000,000","-112,000,000","-112,000,000","-416,000,000",0.12,"-13,469,522.24",29.35000038,30.53000069,28.42000008,28.53000069,28.53000069,25002300,DAL,"18,197,466,957","32,570,466,957",3.908,5.893,589.219,0.396,1.185,3.791,-61.686,3/31/20
21747.394,2.066666667,3.6,7.04281133,"11,439,000,000","10,431,000,000","9,098,000,000","2,341,000,000","942,000,000","488,000,000",,,,,"488,000,000",,,,"454,000,000","1,399,000,000","-73,000,000",,"73,000,000",,"72,000,000","136,000,000",,,,,,"-64,000,000","1,398,000,000","300,000,000","1,098,000,000","1,098,000,000","1,098,000,000","1,098,000,000",,,"1,098,000,000",1.71,1.71,"642,000,000","644,000,000","1,399,000,000","546,000,000","10,040,000,000","1,098,000,000","991,184,549.36",,"73,000,000","-73,000,000","1,471,000,000",,"9,098,000,000","622,000,000","1,098,000,000","136,000,000","136,000,000","1,335,000,000",0.215,"29,184,549.36",58.49000168,58.72999954,58.34000015,58.47999954,58.07864761,2917300,DAL,"37,589,289,776","52,094,289,776",8.26,7.831,0.734,0.838,2.495,4.554,35.414,12/31/19
21540.325,1.733333333,3.6,7.01849633,"12,560,000,000","11,599,000,000","9,474,000,000","3,086,000,000","1,015,000,000","539,000,000",,,,,"539,000,000",,,,"476,000,000","2,071,000,000","-70,000,000",,"70,000,000",,"-54,000,000","-35,000,000",,,,,,"-19,000,000","1,947,000,000","452,000,000","1,495,000,000","1,495,000,000","1,495,000,000","1,495,000,000",,,"1,495,000,000",2.32,2.31,"646,000,000","648,000,000","2,071,000,000","570,000,000","10,489,000,000","1,495,000,000","1,521,874,678.99",,"70,000,000","-70,000,000","2,017,000,000",,"9,474,000,000",,"1,495,000,000","-35,000,000","-35,000,000","2,052,000,000",0.232,"-8,125,321.01",58.50999832,58.68999863,57.52000046,57.59999847,56.78284454,5208200,DAL,"37,252,388,390","51,614,388,390",8.61,7.576,0.71,0.849,2.669,4.109,25.59,9/30/19
21329.877,1.8,3.666666667,6.822179,"12,536,000,000","11,554,000,000","9,457,000,000","3,079,000,000","951,000,000","538,000,000",,,,,"538,000,000",,,,"413,000,000","2,128,000,000","-75,000,000",,"75,000,000",,"-146,000,000","-82,000,000",,,,,,"-64,000,000","1,907,000,000","464,000,000","1,443,000,000","1,443,000,000","1,443,000,000","1,443,000,000",,,"1,443,000,000",2.22,2.21,"650,000,000","652,000,000","2,128,000,000","549,000,000","10,408,000,000","1,443,000,000","1,505,048,243.31",,"75,000,000","-75,000,000","1,982,000,000",,"9,457,000,000",,"1,443,000,000","-82,000,000","-82,000,000","2,064,000,000",0.243,"-19,951,756.69",,,,,,,,"37,151,175,765","52,752,175,765",9.506,8.32,0.717,0.864,2.858,4.208,26.616,6/30/19
21115.309,1.666666667,3.866666667,6.749196,"10,472,000,000","9,446,000,000","8,596,000,000","1,876,000,000","856,000,000","427,000,000",,,,,"427,000,000",,,,"429,000,000","1,020,000,000","-83,000,000",,"83,000,000",,"9,000,000","100,000,000",,,,,,"-91,000,000","946,000,000","216,000,000","730,000,000","730,000,000","730,000,000","730,000,000",,,"730,000,000",1.1,1.09,"665,000,000","667,000,000","1,020,000,000","521,000,000","9,452,000,000","730,000,000","652,832,980.97",,"83,000,000","-83,000,000","1,029,000,000",,"8,596,000,000",,"730,000,000","100,000,000","100,000,000","929,000,000",0.228,"22,832,980.97",,,,,,,,"35,067,772,561","49,826,772,561",9.109,7.734,0.834,0.807,2.472,4.758,48.423,3/31/19
20909.853,2.2,3.833333333,6.91660467,"10,742,000,000","9,862,000,000","8,753,000,000","1,989,000,000","886,000,000","468,000,000",,,,,"468,000,000",,,,"418,000,000","1,103,000,000","-37,000,000",,"37,000,000",,"321,000,000","185,000,000",,,,,,"136,000,000","1,387,000,000","336,000,000","1,051,000,000","1,051,000,000","1,051,000,000","1,051,000,000",,,"1,051,000,000",1.5,1.49,"680,000,000","683,000,000","1,103,000,000","564,000,000","9,639,000,000","1,051,000,000","910,816,149.96",,"37,000,000","-37,000,000","1,424,000,000",,"8,753,000,000","570,000,000","1,051,000,000","185,000,000","185,000,000","1,239,000,000",0.242,"44,816,149.96",50.29000092,50.65999985,49.56000137,49.90000153,48.24718857,6231700,DAL,"33,929,229,302","41,362,229,302",9.804,7.391,0.579,0.794,2.476,3.851,29.047,12/31/18
