MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,date,open,high,low,close,adjclose,volume,ticker
"206,526,241,342","243,566,241,342",,,,,,2021-07-09,149.41000366210938,150.30999755859375,149.1699981689453,149.47999572753906,149.47999572753906,4087600.0,PEP
"204,716,304,386","241,756,304,386",27.439,24.272,3.364,2.888,14.678,2021-06-30,147.42999267578125,148.30999755859375,147.1999969482422,148.1699981689453,148.1699981689453,4943700.0,PEP
"204,398,529,196","241,438,529,196",27.396,24.272,3.365,2.883,14.655,2021-05-31,,,,,,,
"199,175,963,018","236,215,963,018",26.696,23.697,3.279,2.809,14.281,2021-04-30,143.32000732421875,144.24000549316406,142.5,144.16000366210938,143.11444091796875,5051100.0,PEP
"195,483,900,000","230,542,900,000",27.627,23.31,3.214,2.798,14.53,2021-03-31,143.32000732421875,143.3300018310547,141.1699981689453,141.4499969482422,140.42408752441406,6257900.0,PEP
"177,734,981,220","212,793,981,220",,,,,,2021-03-04,129.25,131.75,128.32000732421875,128.8300018310547,127.8956298828125,9102800.0,PEP
"178,231,640,330","213,290,640,330",,,,,,2021-02-26,130.57000732421875,130.8699951171875,128.57000732421875,129.19000244140625,127.23704528808594,8329000.0,PEP
"179,349,123,330","214,408,123,330",,,,,,2021-02-25,131.35000610351562,132.08999633789062,129.8000030517578,130.0,128.03480529785156,5702300.0,PEP
"186,757,621,732","221,816,621,732",,,,,,2021-02-18,134.07000732421875,135.6999969482422,133.91000366210938,135.3699951171875,133.3236083984375,3935200.0,PEP
"188,466,600,000","223,332,600,000",,,,,,2021-01-29,138.11000061035156,138.4600067138672,136.00999450683594,136.57000732421875,134.5054931640625,6778100.0,PEP
"204,654,000,000","239,520,000,000",29.366,24.213,3.954,3.018,15.179,2020-12-31,147.47999572753906,148.4600067138672,146.63999938964844,148.3000030517578,146.05816650390625,2076800.0,PEP
"199,319,583,831","234,185,583,831",28.56,23.585,3.845,2.935,14.783,2020-11-30,144.4600067138672,144.6300048828125,142.8800048828125,144.22999572753906,141.0448760986328,4906900.0,PEP
"198,062,003,430","232,928,003,430",,,,,,2020-11-19,142.8800048828125,143.6999969482422,142.33999633789062,143.32000732421875,140.15496826171875,4263500.0,PEP
"184,200,979,885","219,066,979,885",,,,,,2020-10-30,132.92999267578125,133.83999633789062,131.7100067138672,133.2899932861328,130.34645080566406,4303900.0,PEP
"185,168,349,425","220,034,349,425",,,,,,2020-10-29,133.75999450683594,135.6300048828125,132.25999450683594,133.99000549316406,131.031005859375,3856500.0,PEP
"191,539,168,821","227,394,168,821",28.286,22.624,3.521,2.866,15.334,2020-09-30,137.99000549316406,139.19000244140625,136.89999389648438,138.60000610351562,135.53921508789062,7060700.0,PEP
"182,189,989,350","218,044,989,350",,,,,,2020-09-24,131.44000244140625,132.30999755859375,129.9199981689453,131.5800018310547,128.67422485351562,4316600.0,PEP
"188,046,986,272","223,901,986,272",,,,,,2020-09-11,135.22000122070312,136.3800048828125,134.22999572753906,135.80999755859375,132.81080627441406,3411900.0,PEP
"193,931,675,850","229,786,675,850",28.584,25.907,4.032,2.896,15.526,2020-08-31,139.32000732421875,141.02000427246094,139.0,140.05999755859375,135.9890899658203,3828700.0,PEP
"191,217,795,480","227,072,795,480",,,,,,2020-08-13,137.10000610351562,138.61000061035156,137.10000610351562,138.10000610351562,134.0860595703125,2393500.0,PEP
"190,608,557,029","226,463,557,029",28.094,25.253,3.932,2.847,15.26,2020-07-31,137.25999450683594,137.6999969482422,135.1999969482422,137.66000366210938,133.6588592529297,4304100.0,PEP
"190,622,403,358","226,477,403,358",,,,,,2020-07-27,135.52999877929688,137.75999450683594,134.85000610351562,137.6699981689453,133.66856384277344,3607700.0,PEP
"186,454,658,503","222,309,658,503",,,,,,2020-07-17,134.64999389648438,135.05999755859375,133.5500030517578,134.66000366210938,130.7460479736328,3229300.0,PEP
"187,645,442,747","223,500,442,747",,,,,,2020-07-14,134.58999633789062,136.9499969482422,134.25,135.52000427246094,131.5810546875,6766800.0,PEP
"183,180,100,000","213,176,100,000",25.632,23.31,3.58,2.722,13.604,2020-06-30,131.8300018310547,132.82000732421875,130.85000610351562,132.25999450683594,128.41580200195312,4626700.0,PEP
"182,525,681,961","212,521,681,961",,,,,,2020-05-29,132.00999450683594,132.24000549316406,130.32000732421875,131.5500030517578,126.74268341064453,13337900.0,PEP
"183,552,432,281","213,548,432,281",,,,,,2020-05-28,131.2100067138672,132.72999572753906,130.11000061035156,132.2899932861328,127.45562744140625,4974400.0,PEP
"182,123,306,835","212,119,306,835",,,,,,2020-05-20,132.5399932861328,132.67999267578125,130.33999633789062,131.25999450683594,126.46327209472656,8213100.0,PEP
"186,452,308,186","216,448,308,186",,,,,,2020-05-11,133.42999267578125,136.1999969482422,133.1699981689453,134.3800048828125,129.46925354003906,3591100.0,PEP
"183,552,432,281","213,548,432,281",25.638,22.727,3.154,2.723,13.632,2020-04-30,132.41000366210938,133.1699981689453,130.4199981689453,132.2899932861328,127.45562744140625,6783000.0,PEP
"166,818,900,000","193,590,900,000",23.096,20.367,2.826,2.516,11.282,2020-03-31,124.94000244140625,125.69999694824219,119.52999877929688,120.0999984741211,115.71109771728516,7091700.0,PEP
"183,461,575,914","210,233,575,914",,,,,,2020-02-28,133.24000549316406,133.75,128.35000610351562,132.02999877929688,126.35198211669922,14164000.0,PEP
"197,549,820,000","224,322,820,000",16.231,23.585,3.574,3.035,13.982,2020-01-31,143.80999755859375,144.64999389648438,141.57000732421875,142.02000427246094,135.91236877441406,4753100.0,PEP
"190,107,970,000","216,880,970,000",15.619,22.779,3.453,2.921,13.455,2019-12-31,136.69000244140625,137.25999450683594,136.02999877929688,136.6699981689453,130.7924346923828,3229400.0,PEP
"189,406,151,960","216,179,151,960",,,,,,2019-11-29,136.05999755859375,136.4199981689453,135.25999450683594,135.8300018310547,129.0843963623047,2978400.0,PEP
"191,274,695,313","218,047,695,313",15.677,22.989,3.585,2.932,13.538,2019-10-31,136.8000030517578,137.52999877929688,136.10000610351562,137.1699981689453,130.3578643798828,4492300.0,PEP
"191,177,084,839","218,778,084,839",15.216,23.042,3.725,2.972,13.702,2019-09-30,136.07000732421875,137.72999572753906,135.8699951171875,137.10000610351562,130.29135131835938,3705200.0,PEP
"191,171,716,145","218,772,716,145",,,,,,2019-08-30,136.11000061035156,137.11000061035156,135.75999450683594,136.72999572753906,129.04794311523438,3742800.0,PEP
"178,700,044,178","206,301,044,178",14.185,23.202,3.753,2.771,12.808,2019-07-31,130.47999572753906,130.47999572753906,126.23999786376953,127.80999755859375,120.62908935546875,5757600.0,PEP
"183,450,870,000","209,838,870,000",,,,,,2019-06-28,132.27999877929688,132.41000366210938,130.75999450683594,131.1300048828125,123.76256561279297,6318500.0,PEP
"179,433,172,864","205,821,172,864",14.48,23.202,3.752,2.799,12.634,2019-05-31,128.0,128.4499969482422,126.98999786376953,128.0,119.93031311035156,4191200.0,PEP
"179,503,263,947","205,891,263,947",14.485,23.202,3.812,2.8,12.639,2019-04-30,127.05000305175781,128.38999938964844,126.33999633789062,128.0500030517578,119.97715759277344,4963600.0,PEP
"172,060,200,000","195,388,200,000",,,,,,2019-03-29,122.29000091552734,122.76000213623047,121.2699966430664,122.55000305175781,114.82391357421875,5758800.0,PEP
"162,437,901,529","185,765,901,529",13.171,20.492,3.045,2.548,11.189,2019-02-28,114.73999786376953,116.22000122070312,114.20999908447266,115.63999938964844,108.34955596923828,5586300.0,PEP
"158,752,030,000","179,971,030,000",32.376,18.832,2.602,2.489,15.434,2019-01-31,110.97000122070312,112.9000015258789,110.20999908447266,112.66999816894531,104.71764373779297,6183400.0,PEP
"155,666,320,000","176,885,320,000",31.747,18.45,2.549,2.44,15.134,2018-12-31,110.58000183105469,111.08999633789062,109.31999969482422,110.4800033569336,102.68222045898438,5019100.0,PEP
"172,126,601,920","193,345,601,920",35.04,20.408,2.818,2.693,16.734,2018-11-30,118.12999725341797,122.0,118.12999725341797,121.94000244140625,112.44054412841797,8051100.0,PEP
"158,632,011,840","179,851,011,840",32.293,18.762,2.593,2.482,15.422,2018-10-31,113.48999786376953,113.48999786376953,111.19000244140625,112.37999725341797,103.62528228759766,6449500.0,PEP
"157,813,302,400","180,277,302,400",,,,,,2018-09-28,111.54000091552734,112.05000305175781,110.91000366210938,111.80000305175781,103.0904769897461,5945300.0,PEP
"158,418,166,336","180,882,166,336",34.894,19.646,2.65,2.489,15.668,2018-08-31,111.7699966430664,112.58000183105469,111.26000213623047,112.01000213623047,102.43680572509766,4248800.0,PEP
"162,646,988,025","185,110,988,025",35.826,20.161,2.751,2.556,16.086,2018-07-31,114.66000366210938,115.48999786376953,114.11000061035156,115.0,105.17127227783203,4892100.0,PEP
"154,051,050,000","176,972,050,000",,,,,,2018-06-29,108.72000122070312,109.5,107.80000305175781,108.87000274658203,99.56517791748047,4721400.0,PEP
"142,139,340,997","165,060,340,997",29.399,17.575,2.398,2.247,13.061,2018-05-31,101.1500015258789,101.30000305175781,99.66000366210938,100.25,91.68189239501953,8270100.0,PEP
"143,117,656,660","166,038,656,660",29.601,17.699,2.414,2.263,13.151,2018-04-30,101.8499984741211,102.38999938964844,100.58000183105469,100.94000244140625,91.47166442871094,5479900.0,PEP
"154,883,850,000","174,695,850,000",,,,,,2018-03-30,,,,,,,
"155,806,534,137","175,618,534,137",32.464,19.268,2.625,2.484,14.363,2018-02-28,111.0,111.6500015258789,109.68000030517578,109.7300033569336,98.7076644897461,4638900.0,PEP
"170,826,000,000","191,758,000,000",24.855,21.459,3.218,2.727,12.889,2018-01-31,119.83999633789062,120.75,119.51000213623047,120.30000305175781,108.21590423583984,4018100.0,PEP
"170,543,431,371","191,475,431,371",,,,,,2017-12-29,119.45999908447266,120.56999969482422,119.41999816894531,119.91999816894531,107.87405395507812,3116400.0,PEP
"165,708,143,957","186,640,143,957",24.074,20.79,3.117,2.642,12.503,2017-11-30,116.5199966430664,117.20999908447266,116.08000183105469,116.5199966430664,104.81558990478516,5984000.0,PEP
"156,762,862,242","177,694,862,242",22.775,19.685,2.949,2.499,11.828,2017-10-31,110.23999786376953,110.7699966430664,109.94999694824219,110.2300033569336,98.47425079345703,4379400.0,PEP
"158,469,434,270","180,834,434,270",,,,,,2017-09-29,111.87000274658203,112.02999877929688,111.20999908447266,111.43000030517578,99.54627227783203,5122300.0,PEP
"164,974,327,156","187,339,327,156",24.467,22.472,3.134,2.639,13.344,2017-08-31,115.23999786376953,115.83999633789062,114.93000030517578,115.7300033569336,103.3876953125,4709500.0,PEP
"166,228,776,373","188,593,776,373",24.653,22.676,3.159,2.659,13.446,2017-07-31,116.52999877929688,116.86000061035156,116.18000030517578,116.61000061035156,103.44992065429688,3098600.0,PEP
"164,688,740,000","187,398,740,000",24.944,22.523,3.046,2.654,14.286,2017-06-30,115.52999877929688,116.11000061035156,115.30000305175781,115.48999786376953,102.45630645751953,3313300.0,PEP
"166,948,937,932","189,658,937,932",25.242,22.831,3.083,2.685,14.482,2017-05-31,116.91000366210938,117.94000244140625,116.87000274658203,116.87000274658203,103.68057250976562,5232900.0,PEP
"161,820,618,541","184,530,618,541",,,,,,2017-04-28,112.33999633789062,113.43000030517578,112.19000244140625,113.27999877929688,99.81019592285156,4872000.0,PEP
"159,959,800,000","180,820,800,000",25.656,21.93,2.964,2.586,14.471,2017-03-31,112.30999755859375,112.47000122070312,111.83000183105469,111.86000061035156,98.55905151367188,3744400.0,PEP
"157,535,906,928","178,396,906,928",25.317,21.598,2.959,2.552,14.251,2017-02-28,109.05000305175781,110.5999984741211,109.05000305175781,110.37999725341797,96.59156799316406,4684700.0,PEP
"148,197,840,000","169,064,840,000",22.759,20.202,2.982,2.446,11.798,2017-01-31,103.20999908447266,104.16999816894531,103.20999908447266,103.77999877929688,90.81603240966797,3846600.0,PEP
"150,058,579,845","170,925,579,845",,,,,,2016-12-30,104.70999908447266,105.1500015258789,104.33000183105469,104.62999725341797,91.55985260009766,3484000.0,PEP
"143,561,730,312","164,428,730,312",21.952,19.38,2.871,2.359,11.429,2016-11-30,101.51000213623047,101.91999816894531,100.0999984741211,100.0999984741211,87.5957260131836,8123500.0,PEP
"153,744,430,464","174,611,430,464",23.509,20.747,3.005,2.526,12.24,2016-10-31,107.02999877929688,107.43000030517578,106.91999816894531,107.19999694824219,93.11992645263672,3141700.0,PEP
"155,996,097,962","176,863,097,962",23.853,21.053,2.966,2.563,12.419,2016-09-30,108.37000274658203,109.23999786376953,108.37000274658203,108.7699966430664,94.48371124267578,7173300.0,PEP
"153,630,099,099","175,913,099,099",30.155,22.676,3.491,2.516,12.585,2016-08-31,106.33999633789062,106.87999725341797,106.26000213623047,106.75,92.7290267944336,3995000.0,PEP
"156,753,071,606","179,036,071,606",,,,,,2016-07-29,108.26000213623047,109.11000061035156,108.12000274658203,108.91999816894531,93.94947814941406,3995300.0,PEP
"152,464,381,251","175,447,381,251",30.269,22.624,3.479,2.49,13.773,2016-06-30,103.75,106.0,103.52999877929688,105.94000244140625,91.37906646728516,7973200.0,PEP
"146,131,671,329","169,114,671,329",28.906,19.802,2.817,2.378,13.201,2016-05-31,102.13999938964844,102.37000274658203,100.81999969482422,101.16999816894531,86.61519622802734,6368700.0,PEP
"148,717,177,820","171,700,177,820",,,,,,2016-04-29,102.93000030517578,103.16999816894531,102.4000015258789,102.95999908447266,88.14767456054688,4604000.0,PEP
"148,186,080,000","169,502,080,000",27.924,20.202,2.925,2.413,12.471,2016-03-31,102.54000091552734,103.44999694824219,102.30000305175781,102.4800033569336,87.73672485351562,5367700.0,PEP
"142,943,140,119","164,259,140,119",26.654,19.342,2.649,2.304,12.03,2016-02-29,98.36000061035156,99.0199966430664,97.79000091552734,97.81999969482422,83.15296936035156,5955300.0,PEP
"143,786,400,000","164,991,400,000",,,,,,2016-01-29,97.87000274658203,99.30000305175781,97.58000183105469,99.30000305175781,84.41107177734375,7340600.0,PEP
"144,684,160,000","165,889,160,000",29.65,20.576,3.018,2.322,10.781,2015-12-31,100.52999877929688,100.91000366210938,99.80999755859375,99.91999816894531,84.9381103515625,3041500.0,PEP
"145,918,173,824","167,123,173,824",29.721,20.619,3.026,2.328,10.873,2015-11-30,100.73999786376953,100.97000122070312,100.12999725341797,100.16000366210938,84.54984283447266,6083300.0,PEP
"148,875,580,901","170,080,580,901",,,,,,2015-10-30,102.62999725341797,103.23999786376953,102.19000244140625,102.19000244140625,86.26348876953125,5425800.0,PEP
