date, sugar_price
2010-01-04,0.2762
2010-01-05,0.2764
2010-01-06,0.2841
2010-01-07,0.28
2010-01-08,0.2753
2010-01-11,0.2675
2010-01-12,0.2736
2010-01-13,0.2804
2010-01-14,0.2776
2010-01-15,0.2762
2010-01-19,0.2898
2010-01-20,0.2911
2010-01-21,0.2926
2010-01-22,0.2878
2010-01-25,0.298
2010-01-26,0.293
2010-01-27,0.2836
2010-01-28,0.29
2010-01-29,0.299
2010-02-01,0.2928
2010-02-02,0.294
2010-02-03,0.2858
2010-02-04,0.2764
2010-02-05,0.2617
2010-02-08,0.266
2010-02-09,0.2707
2010-02-10,0.2664
2010-02-11,0.2753
2010-02-12,0.2695
2010-02-16,0.2736
2010-02-17,0.2612
2010-02-18,0.2647
2010-02-19,0.268
2010-02-22,0.2479
2010-02-23,0.2423
2010-02-24,0.2483
2010-02-25,0.24
2010-02-26,0.2371
2010-03-01,0.2226
2010-03-02,0.2264
2010-03-03,0.2205
2010-03-04,0.2167
2010-03-05,0.2219
2010-03-08,0.2157
2010-03-09,0.2032
2010-03-10,0.1969
2010-03-11,0.1927
2010-03-12,0.1967
2010-03-15,0.1939
2010-03-16,0.1824
2010-03-17,0.1833
2010-03-18,0.1903
2010-03-19,0.1864
2010-03-22,0.1784
2010-03-23,0.1657
2010-03-24,0.1767
2010-03-25,0.1705
2010-03-26,0.17
2010-03-29,0.1751
2010-03-30,0.1788
2010-03-31,0.1659
2010-04-01,0.16699999999999998
2010-04-05,0.16399999999999998
2010-04-06,0.1589
2010-04-07,0.1616
2010-04-08,0.1592
2010-04-09,0.1639
2010-04-12,0.1654
2010-04-13,0.1698
2010-04-14,0.1753
2010-04-15,0.1685
2010-04-16,0.1595
2010-04-19,0.1691
2010-04-20,0.1646
2010-04-21,0.1655
2010-04-22,0.1607
2010-04-23,0.1566
2010-04-26,0.1569
2010-04-27,0.1517
2010-04-28,0.1472
2010-04-29,0.1521
2010-04-30,0.1513
2010-05-03,0.1498
2010-05-04,0.1451
2010-05-05,0.1441
2010-05-06,0.1367
2010-05-07,0.1375
2010-05-10,0.1418
2010-05-11,0.1391
2010-05-12,0.1467
2010-05-13,0.1466
2010-05-14,0.1413
2010-05-17,0.1389
2010-05-18,0.14800000000000002
2010-05-19,0.1493
2010-05-20,0.1499
2010-05-21,0.1565
2010-05-24,0.1519
2010-05-25,0.1525
2010-05-26,0.1536
2010-05-27,0.1492
2010-05-28,0.1419
2010-06-01,0.14400000000000002
2010-06-02,0.1394
2010-06-03,0.1399
2010-06-04,0.1452
2010-06-07,0.1433
2010-06-08,0.1488
2010-06-09,0.1516
2010-06-10,0.1536
2010-06-11,0.1583
2010-06-14,0.1605
2010-06-15,0.1618
2010-06-16,0.1627
2010-06-17,0.1579
2010-06-18,0.1558
2010-06-21,0.1618
2010-06-22,0.1621
2010-06-23,0.1625
2010-06-24,0.1682
2010-06-25,0.1711
2010-06-28,0.1664
2010-06-29,0.162
2010-06-30,0.1645
2010-07-01,0.1628
2010-07-02,0.16699999999999998
2010-07-06,0.1669
2010-07-07,0.1706
2010-07-08,0.1709
2010-07-09,0.1661
2010-07-12,0.171
2010-07-13,0.1717
2010-07-14,0.1697
2010-07-15,0.1739
2010-07-16,0.1711
2010-07-19,0.1761
2010-07-20,0.1728
2010-07-21,0.1747
2010-07-22,0.183
2010-07-23,0.1826
2010-07-26,0.1862
2010-07-27,0.1842
2010-07-28,0.1887
2010-07-29,0.195
2010-07-30,0.1957
2010-08-02,0.19399999999999998
2010-08-03,0.1859
2010-08-04,0.1888
2010-08-05,0.1829
2010-08-06,0.1824
2010-08-09,0.1773
2010-08-10,0.1856
2010-08-11,0.1826
2010-08-12,0.1897
2010-08-13,0.1942
2010-08-16,0.1894
2010-08-17,0.1938
2010-08-18,0.196
2010-08-19,0.1948
2010-08-20,0.1995
2010-08-23,0.2007
2010-08-24,0.2016
2010-08-25,0.2003
2010-08-26,0.1927
2010-08-27,0.1996
2010-08-30,0.1981
2010-08-31,0.1975
2010-09-01,0.2049
2010-09-02,0.2081
2010-09-03,0.20600000000000002
2010-09-07,0.2145
2010-09-08,0.2138
2010-09-09,0.2243
2010-09-10,0.2273
2010-09-13,0.2334
2010-09-14,0.2436
2010-09-15,0.2382
2010-09-16,0.2448
2010-09-17,0.2461
2010-09-20,0.2429
2010-09-21,0.2379
2010-09-22,0.2431
2010-09-23,0.247
2010-09-24,0.2544
2010-09-27,0.2587
2010-09-28,0.2622
2010-09-29,0.2569
2010-09-30,0.2384
2010-10-01,0.2336
2010-10-04,0.2299
2010-10-05,0.2374
2010-10-06,0.2354
2010-10-07,0.2516
2010-10-08,0.2632
2010-10-11,0.2659
2010-10-12,0.2745
2010-10-13,0.275
2010-10-14,0.2794
2010-10-15,0.2706
2010-10-18,0.2758
2010-10-19,0.2833
2010-10-20,0.2881
2010-10-21,0.2835
2010-10-22,0.2822
2010-10-25,0.285
2010-10-26,0.2796
2010-10-27,0.2859
2010-10-28,0.2871
2010-10-29,0.2912
2010-11-01,0.2945
2010-11-02,0.3012
2010-11-03,0.3015
2010-11-04,0.3166
2010-11-05,0.3176
2010-11-08,0.3188
2010-11-09,0.3311
2010-11-10,0.3281
2010-11-11,0.2966
2010-11-12,0.2621
2010-11-15,0.2703
2010-11-16,0.2631
2010-11-17,0.2647
2010-11-18,0.2815
2010-11-19,0.2615
2010-11-22,0.265
2010-11-23,0.2733
2010-11-24,0.2795
2010-11-26,0.2825
2010-11-29,0.2835
2010-11-30,0.2755
2010-12-01,0.2837
2010-12-02,0.2845
2010-12-03,0.295
2010-12-06,0.2901
2010-12-07,0.2841
