name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"8,999,360,000,000","2,220,419,000,000","2,696,536,000,000","2,113,486,000,000","1,968,919,000,000","1,748,740,000,000","2,463,162,000,000","2,122,259,000,000","1,925,724,000,000","2,127,498,000,000","2,401,805,000,000","2,182,760,000,000","1,953,624,000,000","1,951,021,000,000","2,672,317,000,000","2,062,531,000,000","1,858,113,000,000","1,903,604,000,000","2,397,499,000,000","1,688,948,000,000","1,613,199,000,000","1,824,101,000,000","2,580,812,000,000","1,892,740,000,000","1,808,059,000,000","1,937,712,000,000","2,566,749,000,000","1,901,511,000,000","1,809,908,000,000","1,866,249,000,000","2,412,819,000,000","1,775,486,000,000","1,712,712,000,000","1,733,029,000,000","1,947,980,000,000","1,604,659,000,000","1,515,183,000,000","1,600,426,000,000","1,822,876,000,000","1,574,989,000,000","1,494,921,000,000","1,580,826,000,000","2,206,246,000,000","1,733,152,000,000","1,661,049,000,000","1,715,070,000,000","2,237,865,000,000","1,661,210,000,000","1,599,853,000,000","1,524,060,000,000","2,154,584,000,000","2,064,639,205,920","1,982,795,260,700","2,088,246,345,410","2,803,062,525,490","2,079,730,856,270","1,979,062,700,010","2,087,493,279,440","2,608,535,133,890","1,854,610,261,030","1,736,944,557,100","1,839,323,038,560","2,369,754,425,280","1,710,087,380,540","1,572,513,974,160","1,733,445,311,320","2,139,954,907,200","1,687,685,699,520","1,623,382,302,520","1,777,756,218,380","2,328,579,177,540","1,805,196,212,620","1,600,598,815,200","1,703,391,388,780","2,284,237,987,450","1,784,984,209,590","1,729,335,024,690","1,894,594,185,910","2,281,200,702,720","1,793,961,970,480","1,647,562,136,430","2,030,587,931,260","2,103,218,203,050","1,697,105,372,400","1,578,394,521,060","1,438,147,697,750","1,920,850,900,800","1,621,831,349,330","1,484,670,577,856.31","1,579,649,910,685.16","1,913,194,098,263.76","1,774,689,988,218.68","1,593,556,811,705.82","1,698,984,246,673.29","2,024,910,397,717.45","1,631,693,631,781.36","1,438,368,491,857.92","1,454,230,776,740.51","1,667,336,361,388.31","1,363,418,706,789.46","1,180,760,080,372.5","1,244,819,860,432.39","1,344,981,824,485.64","1,162,315,799,744.98","891,630,972,915.45","900,349,555,475","1,138,038,488,502","981,509,466,847","859,624,942,225","970,280,735,886","1,035,601,868,280","947,823,305,000","826,378,274,183","944,129,269,580","1,103,571,789,664","1,034,123,440,024","920,494,180,011","913,316,686,354","1,149,039,336,392","973,689,125,552","881,215,307,328","887,657,132,340","1,039,556,004,480","923,782,809,964","853,507,440,390","817,849,757,829","874,935,328,588","659,317,032,326","572,974,997,640","599,065,004,966","615,716,358,208","524,200,240,507","458,414,531,970","423,163,938,878","349,385,014,100","420,404,418,950","392,140,444,575","308,437,406,689","326,610,654,933","398,838,797,739","233,066,349,694"
	OperatingRevenue,"8,914,286,000,000","2,192,482,000,000","2,676,336,000,000","2,095,682,000,000","1,949,786,000,000","1,721,864,000,000","2,440,208,000,000","2,100,399,000,000","1,893,466,000,000","2,102,523,000,000","2,381,753,000,000","2,161,232,000,000","1,935,435,000,000","1,929,283,000,000","2,651,212,000,000","2,042,350,000,000","1,830,003,000,000","1,882,645,000,000","2,376,920,000,000","1,670,621,000,000","1,593,426,000,000","1,802,985,000,000","2,559,042,000,000","1,872,649,000,000","1,781,000,000,000","1,910,538,000,000","2,542,696,000,000","1,874,351,000,000","1,785,556,000,000","1,844,140,000,000","2,381,893,000,000","1,754,786,000,000","1,690,399,000,000","1,708,482,000,000","1,926,281,000,000","1,604,659,000,000","1,515,183,000,000","1,600,426,000,000","1,822,876,000,000","1,574,989,000,000","1,494,921,000,000","1,580,826,000,000","2,206,246,000,000","1,733,152,000,000","1,661,049,000,000","1,715,070,000,000","2,237,865,000,000","1,661,210,000,000","1,599,853,000,000","1,524,060,000,000","2,154,584,000,000","1,943,096,341,560","1,982,795,260,700","2,088,246,345,410","2,803,062,525,490","2,079,730,856,270","1,979,062,700,010","2,087,493,279,440","2,608,535,133,890","1,854,610,261,030","1,736,944,557,100","1,839,323,038,560","2,369,754,425,280","1,710,087,380,540","1,572,513,974,160","1,733,445,311,320","2,139,954,907,200","1,687,685,699,520","1,623,382,302,520","1,777,756,218,380","2,328,579,177,540","1,805,196,212,620","1,600,598,815,200","1,703,391,388,780","2,284,237,987,450","1,784,984,209,590","1,729,335,024,690","1,894,594,185,910","2,281,200,702,720","1,793,961,970,480","1,647,562,136,430","2,030,587,931,260","2,103,218,203,050","1,697,105,372,400","1,578,394,521,060","1,438,147,697,750","1,920,850,900,800","1,621,831,349,330","1,484,670,577,856.31","1,579,649,910,685.16","1,913,194,098,263.76","1,774,689,988,218.68","1,593,556,811,705.82","1,698,984,246,673.29","2,024,910,397,717.45","1,631,693,631,781.36","1,438,368,491,857.92","1,454,230,776,740.51","1,667,336,361,388.31","1,363,418,706,789.46","1,180,760,080,372.5","1,244,819,860,432.39","1,344,981,824,485.64","1,162,315,799,744.98","891,630,972,915.45","900,349,555,475","1,138,038,488,502","981,509,466,847","859,624,942,225","970,280,735,886","1,035,601,868,280","947,823,305,000","826,378,274,183","944,129,269,580","1,103,571,789,664","1,034,123,440,024","920,494,180,011","913,316,686,354","1,149,039,336,392","973,689,125,552","881,215,307,328","887,657,132,340","1,039,556,004,480","923,782,809,964","853,507,440,390","817,849,757,829","874,935,328,588","659,317,032,326","572,974,997,640","599,065,004,966","615,716,358,208","524,200,240,507","458,414,531,970","423,163,938,878","349,385,014,100","420,404,418,950","392,140,444,575","308,437,406,689","326,610,654,933","398,838,797,739","233,066,349,694"
CostOfRevenue,"6,561,559,000,000","1,705,178,000,000","1,931,676,000,000","1,474,373,000,000","1,450,332,000,000","1,298,592,000,000","1,783,768,000,000","1,493,158,000,000","1,349,531,000,000","1,618,343,000,000","1,705,132,000,000","1,535,078,000,000","1,404,643,000,000","1,461,755,000,000","1,923,366,000,000","1,474,951,000,000","1,370,350,000,000","1,409,690,000,000","1,781,776,000,000","1,274,434,000,000","1,197,254,000,000","1,422,268,000,000","1,890,775,000,000","1,395,302,000,000","1,366,307,000,000","1,505,267,000,000","1,910,636,000,000","1,389,714,000,000","1,352,517,000,000","1,473,088,000,000","1,820,386,000,000","1,359,127,000,000","1,303,610,000,000","1,412,335,000,000","1,513,522,000,000","1,044,996,000,000","1,006,413,000,000","1,844,394,000,000","1,262,557,000,000","1,200,462,000,000","973,569,000,000","1,777,845,000,000","1,492,388,000,000","1,127,627,000,000","1,109,291,000,000","1,185,478,000,000","1,510,841,000,000","1,134,820,000,000","1,061,424,000,000","1,213,948,000,000","1,564,079,000,000","1,509,166,062,960","1,370,220,913,420","1,123,373,875,940","2,123,169,812,760","1,501,842,853,200","1,330,623,773,160","1,569,501,125,770","1,820,843,946,880","1,424,389,781,080","1,207,054,502,000","1,296,264,570,500","1,575,820,551,340","1,184,727,114,340","1,105,984,117,680","1,248,730,012,400","1,483,685,652,000","1,173,984,809,760","1,110,929,873,400","1,242,161,534,350","1,555,067,083,610","1,214,652,068,940","1,185,868,272,960","1,313,929,676,310","1,614,918,604,200","1,307,495,761,950","1,141,177,055,480","1,333,126,914,570","1,546,076,930,560","1,371,515,944,400","1,229,840,462,200","1,570,042,283,680","1,534,864,485,600","1,239,822,249,120","1,181,196,007,390","1,147,942,492,850","1,363,125,133,500","1,187,330,624,770","1,092,438,607,962.73","1,237,837,335,221.4","1,348,280,484,793.12","1,270,749,280,884.46","1,145,957,253,919.2","1,259,183,954,830.87","1,429,741,277,600.72","1,184,735,940,046.16","1,043,838,531,282.12","1,076,165,173,328.8","1,199,821,782,008.76","1,011,553,308,803.7","875,026,203,726.6","656,980,123,513.17","932,100,371,483.22","797,152,046,212.66","636,625,125,090.69","614,419,917,775","763,287,304,158","688,993,679,920","559,432,985,590",,,"654,382,512,280","540,135,069,474","632,499,039,016","730,331,472,640","703,811,591,200","594,205,656,594","630,646,306,287","756,390,098,082","630,744,738,936","556,594,037,856","562,329,749,475","652,897,838,340","577,315,886,294","507,495,846,720","451,388,162,670","544,021,271,938","418,244,735,551",,,,,,,,,,,,,
GrossProfit,"2,437,801,000,000","515,241,000,000","764,860,000,000","639,113,000,000","518,587,000,000","450,148,000,000","679,394,000,000","629,101,000,000","576,193,000,000","509,155,000,000","696,673,000,000","647,682,000,000","548,981,000,000","489,266,000,000","748,951,000,000","587,580,000,000","487,763,000,000","493,914,000,000","615,723,000,000","414,514,000,000","415,945,000,000","401,833,000,000","690,037,000,000","497,438,000,000","441,752,000,000","432,445,000,000","656,113,000,000","511,797,000,000","457,391,000,000","393,161,000,000","592,433,000,000","416,359,000,000","409,102,000,000","320,694,000,000","434,458,000,000","559,663,000,000","508,770,000,000","-243,968,000,000","560,319,000,000","374,527,000,000","521,352,000,000","-197,019,000,000","713,858,000,000","605,525,000,000","551,758,000,000","529,592,000,000","727,024,000,000","526,390,000,000","538,429,000,000","310,112,000,000","590,505,000,000","555,473,142,960","612,574,347,280","964,872,469,470","679,892,712,730","577,888,003,070","648,438,926,850","517,992,153,670","787,691,187,010","430,220,479,950","529,890,055,100","543,058,468,060","793,933,873,940","525,360,266,200","466,529,856,480","484,715,298,920","656,269,255,200","513,700,889,760","512,452,429,120","535,594,684,030","773,512,093,930","590,544,143,680","414,730,542,240","389,461,712,470","669,319,383,250","477,488,447,640","588,157,969,210","561,467,271,340","735,123,772,160","422,446,026,080","417,721,674,230","460,545,647,580","568,353,717,450","457,283,123,280","397,198,513,670","290,205,204,900","557,725,767,300","434,500,724,560","392,231,969,893.58","341,812,575,463.76","564,913,613,470.64","503,940,707,334.22","447,599,557,786.62","439,800,291,842.42","595,169,120,116.73","446,957,691,735.2","394,529,960,575.8","378,065,603,411.71","467,514,579,379.55","351,865,397,985.76","305,733,876,645.9","587,839,736,919.22","412,881,453,002.42","365,163,753,532.32","255,005,847,824.76","285,929,637,700","374,751,184,344","292,515,786,927","300,191,956,635",,,"293,440,792,720","286,243,204,709","311,630,230,564","373,240,317,024","330,311,848,824","326,288,523,417","282,670,380,067","392,649,238,310","342,944,386,616","324,621,269,472","325,327,382,865","386,658,166,140","346,466,923,670","346,011,593,670","366,461,595,159","330,914,056,650","241,072,296,775",,,,,,,,,,,,,
OperatingExpense,"1,469,955,000,000","446,138,000,000","410,130,000,000","323,769,000,000","301,166,000,000","397,510,000,000","400,032,000,000","354,916,000,000","350,167,000,000","399,910,000,000","430,025,000,000","397,129,000,000","349,761,000,000","424,007,000,000","415,532,000,000","386,279,000,000","357,379,000,000","417,860,000,000","411,652,000,000","338,347,000,000","338,097,000,000","433,482,000,000","461,418,000,000","418,308,000,000","378,722,000,000","508,529,000,000","473,282,000,000","419,203,000,000","410,447,000,000","472,335,000,000","458,814,000,000","412,378,000,000","384,993,000,000","390,730,000,000","388,687,000,000","331,459,000,000","346,750,000,000","354,674,000,000","355,674,000,000","345,393,000,000","320,146,000,000","-110,030,000,000","576,827,000,000","539,146,000,000","359,770,000,000","394,145,000,000","402,440,000,000","370,268,000,000","378,037,000,000","409,990,000,000","461,903,000,000","544,452,691,440","538,976,215,750","469,670,194,530","494,243,888,820","487,524,828,340","548,925,412,530","85,552,218,350","608,773,270,420","451,111,844,820","502,977,549,600","605,491,772,770","590,903,179,310","459,207,990,780","481,947,747,600","561,154,622,620","518,674,341,000","470,672,387,640","502,555,745,960","645,564,847,480","614,369,996,690","557,203,377,260","398,083,835,520","503,091,595,270","471,789,989,400","427,111,226,100","536,047,244,850","584,410,074,250","576,882,587,680","425,791,186,920","414,728,147,750","473,049,613,420","422,339,876,750","396,622,013,760","363,134,735,180","334,283,063,300","393,087,247,800","364,776,537,840","349,927,037,372.64","378,006,726,654.08","388,698,124,726.88","392,414,161,366.24","356,477,058,816.96","379,398,690,097.99","370,159,864,743.82","307,160,728,924","296,704,680,176.8","308,911,311,645.61","302,965,758,035.81","270,967,936,123.87","250,009,776,895.4","537,056,753,185.69","302,395,897,351.68","304,075,935,934.22","239,320,368,008.07","259,602,778,137","304,174,305,342","590,746,819,936","268,582,959,332",,,"281,138,974,160","261,019,402,721","306,124,238,556","316,256,490,912","303,046,643,400","289,353,523,041","300,780,133,347","314,094,405,014","295,831,681,340","265,842,336,480","285,919,878,720","291,995,171,580","272,654,405,149","255,391,683,900","248,012,872,104","239,724,059,280","203,617,127,771",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,469,955,000,000","429,647,000,000","409,835,000,000","329,307,000,000","301,166,000,000","397,510,000,000","400,032,000,000","354,916,000,000","350,167,000,000","399,910,000,000","430,025,000,000","397,129,000,000","349,761,000,000","424,007,000,000","415,532,000,000","386,279,000,000","357,379,000,000","417,860,000,000","411,652,000,000","338,347,000,000","338,097,000,000","433,482,000,000","461,418,000,000","418,308,000,000","378,722,000,000","508,529,000,000","473,282,000,000","419,203,000,000","410,447,000,000","472,335,000,000","458,814,000,000","412,378,000,000","384,993,000,000","390,730,000,000","388,687,000,000","331,459,000,000","346,750,000,000","354,674,000,000","355,674,000,000","345,393,000,000","320,146,000,000","375,601,000,000","403,047,000,000","363,395,000,000","359,770,000,000","394,145,000,000","402,440,000,000","370,268,000,000","378,037,000,000","409,990,000,000","461,903,000,000","539,472,295,080","543,011,899,730","424,850,701,220","491,226,117,450","535,060,221,400","403,349,949,750","91,147,123,260","612,106,405,260","449,341,390,170","495,762,707,700","565,944,577,240","585,115,800,580","432,315,899,400","480,062,106,240","547,634,320,360","516,930,035,600","462,859,027,920","497,661,781,760","623,633,690,400","604,075,090,130","548,394,278,440","403,473,057,120","503,209,568,490","471,789,989,400","427,111,226,100","424,056,995,480","584,542,984,040","576,882,587,680","425,791,186,920","414,728,147,750","473,049,613,420","422,339,876,750","396,622,013,760","363,134,735,180","334,283,063,300","393,087,247,800","364,776,537,840","349,927,037,372.64","378,006,726,654.08","388,698,124,726.88","392,414,161,366.24","356,477,058,816.96","379,398,690,097.99","370,159,864,743.82","307,160,728,924","296,704,680,176.8","308,911,311,645.61","302,965,758,035.81","270,967,936,123.87","250,009,776,895.4","307,380,610,180.69","302,395,897,351.68","304,075,935,934.22","239,320,368,008.07","206,708,946,272","249,830,805,222","534,375,508,667","217,541,959,327",,,"222,938,646,352","204,415,227,786","236,665,902,464","243,897,265,376","238,001,023,600","221,144,540,739","227,282,702,620","245,084,083,906","230,572,154,956","208,276,477,152","224,473,908,120","236,087,554,380","221,092,056,038","209,396,828,790","199,903,761,152","193,388,905,376","166,594,563,178",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,893,831,865","54,343,500,120","56,371,311,269","51,041,000,005",,,"58,200,327,808","56,604,174,935","69,458,336,092","72,359,225,536","65,045,619,800","68,208,982,302","73,497,430,727","69,010,321,108","65,259,526,384","57,565,859,328","61,445,970,600","55,907,617,200","51,562,349,111","45,994,855,110","48,109,110,952","46,335,153,904","37,022,564,593",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,893,831,865","54,343,500,120","56,371,311,269","51,041,000,005",,,"58,200,327,808","56,604,174,935","69,458,336,092","72,359,225,536","65,045,619,800","68,208,982,302","73,497,430,727","69,010,321,108","65,259,526,384","57,565,859,328","61,445,970,600","55,907,617,200","51,562,349,111","45,994,855,110","48,109,110,952","46,335,153,904","37,022,564,593",,,,,,,,,,,,,
	OtherOperatingExpenses,,,"295,000,000","-5,538,000,000",,"20,406,000,000","-18,056,000,000","-2,404,000,000","-3,557,000,000","28,183,000,000","-112,809,000,000","13,383,000,000","-325,000,000",,"-13,119,000,000","-901,000,000","-26,111,000,000","-16,453,000,000","113,013,000,000","31,568,000,000","20,873,000,000","60,317,000,000","28,253,000,000","-7,945,000,000","-33,454,000,000","21,908,000,000","608,000,000","178,811,000,000","-19,669,000,000","29,191,000,000","44,956,000,000","-12,808,000,000","-12,673,000,000",,"-1,018,000,000",,,,,,,,"173,780,000,000","175,751,000,000",,,,,,,,"4,980,396,360","-4,035,683,980",,"3,017,771,370","-47,535,393,060","145,575,462,780",,"-3,333,134,840","1,770,454,650","7,214,841,900","39,547,195,530","5,787,378,730","26,892,091,380","1,885,641,360","13,520,302,260","1,744,305,400","7,813,359,720","4,893,964,200","21,931,157,080","10,294,906,560","8,809,098,820","-5,389,221,600",,,,"111,990,249,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"967,846,000,000","69,103,000,000","354,730,000,000","315,344,000,000","217,421,000,000","52,638,000,000","279,362,000,000","274,185,000,000","226,026,000,000","109,245,000,000","266,648,000,000","250,553,000,000","199,220,000,000","65,259,000,000","333,419,000,000","201,301,000,000","130,384,000,000","76,054,000,000","204,071,000,000","76,167,000,000","77,848,000,000","-31,649,000,000","228,619,000,000","79,130,000,000","63,030,000,000","-76,084,000,000","182,831,000,000","92,594,000,000","46,944,000,000","-79,174,000,000","133,619,000,000","3,981,000,000","24,109,000,000","-70,036,000,000","45,771,000,000","228,204,000,000","162,020,000,000","-598,642,000,000","204,645,000,000","29,134,000,000","201,206,000,000","-86,989,000,000","137,031,000,000","66,379,000,000","191,988,000,000","135,447,000,000","324,584,000,000","156,122,000,000","160,392,000,000","-99,878,000,000","128,602,000,000","11,020,451,520","73,598,131,530","495,202,274,940","185,648,823,910","90,363,174,730","99,513,514,320","432,439,935,320","178,917,916,590","-20,891,364,870","26,912,505,500","-62,433,304,710","203,030,694,630","66,152,275,420","-15,417,891,120","-76,439,323,700","137,594,914,200","43,028,502,120","9,896,683,160","-109,970,163,450","159,142,097,240","33,340,766,420","16,646,706,720","-113,629,882,800","197,529,393,850","50,377,221,540","52,110,724,360","-22,942,802,910","158,241,184,480","-3,345,160,840","2,993,526,480","-12,503,965,840","146,013,840,700","60,661,109,520","34,063,778,490","-44,077,858,400","164,638,519,500","69,724,186,720","42,304,932,520.94","-36,194,151,190.32","176,215,488,743.76","111,526,545,967.98","91,122,498,969.66","60,401,601,744.43","225,009,255,372.91","139,796,962,811.2","97,825,280,399","69,154,291,766.1","164,548,821,343.74","80,897,461,861.89","55,724,099,750.5","50,782,983,733.53","110,485,555,650.74","61,087,817,598.1","15,685,479,816.69","26,326,859,563","70,576,879,002","-298,231,033,009","31,608,997,303","-2,649,648,230,274","1,035,601,868,280","12,301,818,560","25,223,801,988","5,505,992,008","56,983,826,112","27,265,205,424","36,935,000,376","-18,109,753,280","78,554,833,296","47,112,705,276","58,778,932,992","39,407,504,145","94,662,994,560","73,812,518,521","90,619,909,770","118,448,723,055","91,189,997,370","37,455,169,004","572,974,997,640","-1,449,900,061,191","615,716,358,208","524,200,240,507","458,414,531,970","-967,058,471,412","349,385,014,100","420,404,418,950","392,140,444,575","308,437,406,689","326,610,654,933","398,838,797,739","-1,072,693,104,706"
